Name,2-Total,2-Positive,2-Neutral,2-Negative,3-Total,3-Positive,3-Neutral,3-Negative,4-Total,4-Positive,4-Neutral,4-Negative,5-Total,5-Positive,5-Neutral,5-Negative,6-Total,6-Positive,6-Neutral,6-Negative,7-Total,7-Positive,7-Neutral,7-Negative,8-Total,8-Positive,8-Neutral,8-Negative,9-Total,9-Positive,9-Neutral,9-Negative,10-Total,10-Positive,10-Neutral,10-Negative,11-Total,11-Positive,11-Neutral,11-Negative
Colton,656,231,392.0,33.0,224,71.0,131.0,22.0,191,75.0,97.0,19.0,64,35.0,24.0,5.0,167,82.0,65.0,20.0,2,1.0,0.0,1.0,483,213.0,216.0,54.0,863,226.0,533.0,104.0,58,16.0,21.0,21.0,160,54.0,84.0,22.0
Grant,11,3,6.0,2.0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,47,,,,0,,,,0,,,
Clay,99,45,35.0,19.0,47,28.0,13.0,6.0,299,103.0,127.0,69.0,7,2.0,3.0,2.0,0,,,,1,1.0,,,5,,,,5,1.0,1.0,3.0,3,1.0,2.0,0.0,10,1.0,6.0,3.0
Jean Blanc,28,12,10.0,6.0,11,4.0,7.0,0.0,8,3.0,4.0,1.0,135,36.0,82.0,17.0,1,,,,0,,,,0,,,,0,,,,0,,,,29,7.0,17.0,5.0
Connor,27,15,9.0,3.0,117,30.0,62.0,25.0,4,0.0,2.0,2.0,10,3.0,7.0,0.0,10,7.0,3.0,0.0,3,2.0,1.0,0.0,4,3.0,1.0,0.0,1,,,,1,,,,30,7.0,23.0,0.0
Joe,599,152,423.0,24.0,126,8.0,109.0,9.0,25,10.0,11.0,4.0,31,26.0,5.0,0.0,24,3.0,15.0,6.0,5,2.0,3.0,0.0,11,2.0,5.0,4.0,7,1.0,6.0,0.0,17,3.0,12.0,2.0,244,104.0,126.0,14.0
John,47,11,30.0,6.0,24,8.0,12.0,4.0,7,2.0,5.0,0.0,104,55.0,49.0,0.0,142,68.0,58.0,16.0,1,,,,9,2.0,6.0,1.0,3,3.0,,,5,3.0,1.0,1.0,23,13.0,7.0,3.0
Leo,59,23,29.0,7.0,65,16.0,44.0,5.0,14,5.0,8.0,1.0,49,23.0,19.0,7.0,36,22.0,11.0,3.0,10,5.0,4.0,1.0,169,63.0,91.0,15.0,5,3.0,1.0,1.0,0,,,,30,19.0,4.0,7.0
Jordan,501,163,219.0,119.0,673,196.0,375.0,102.0,502,128.0,300.0,74.0,421,204.0,167.0,50.0,670,241.0,282.0,147.0,0,,,,3,1.0,2.0,0.0,8,5.0,3.0,0.0,29,3.0,11.0,15.0,334,114.0,171.0,49.0
Rickey,1,1,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
Alex,44,9,34.0,1.0,46,17.0,14.0,15.0,8,4.0,4.0,0.0,2,,,,5,3.0,2.0,0.0,0,,,,5,1.0,3.0,1.0,2,0.0,1.0,1.0,1,,,,3,1.0,2.0,0.0
Nick,23,8,7.0,8.0,10,3.0,6.0,1.0,13,1.0,9.0,3.0,45,21.0,20.0,4.0,8,1.0,1.0,6.0,1,,,,25,6.0,18.0,1.0,4,0.0,1.0,3.0,2,1.0,1.0,0.0,20,4.0,15.0,1.0
Mike,23,9,13.0,1.0,10,3.0,7.0,0.0,37,27.0,9.0,1.0,26,2.0,19.0,5.0,3,1.0,2.0,0.0,0,,,,2,,,,1,,,,2,0.0,1.0,1.0,0,,,
Garrett,314,187,99.0,28.0,26,9.0,16.0,1.0,25,8.0,11.0,6.0,168,68.0,85.0,15.0,30,16.0,10.0,4.0,11,4.0,3.0,4.0,147,49.0,65.0,33.0,258,109.0,93.0,56.0,595,229.0,301.0,65.0,99,76.0,20.0,3.0
Blake,99,51,41.0,7.0,186,104.0,70.0,12.0,78,37.0,25.0,16.0,97,40.0,55.0,2.0,114,74.0,37.0,3.0,13,5.0,5.0,3.0,507,176.0,281.0,50.0,375,124.0,207.0,44.0,648,240.0,347.0,61.0,95,63.0,30.0,2.0
Lincoln,80,39,37.0,4.0,264,79.0,108.0,77.0,35,16.0,19.0,0.0,143,32.0,32.0,79.0,40,20.0,13.0,7.0,9,2.0,7.0,0.0,7,1.0,4.0,2.0,0,,,,11,6.0,2.0,3.0,19,7.0,8.0,4.0
Chase,79,18,30.0,31.0,1,1.0,,,1,1.0,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,0,,,
Darius,1,1,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
Ryan,24,8,12.0,4.0,3,1.0,1.0,1.0,12,5.0,6.0,1.0,18,13.0,5.0,0.0,1,1.0,,,0,,,,1,1.0,,,0,,,,2,,,,3,2.0,1.0,0.0
Christon,19,7,9.0,3.0,2,1.0,1.0,0.0,1,,,,20,11.0,9.0,0.0,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,
Wills,7,4,3.0,0.0,15,12.0,3.0,0.0,60,15.0,43.0,2.0,173,98.0,67.0,8.0,495,242.0,233.0,20.0,16,2.0,12.0,2.0,397,182.0,176.0,39.0,8,5.0,1.0,2.0,8,6.0,1.0,1.0,243,65.0,169.0,9.0
Jason,16,9,4.0,3.0,8,3.0,3.0,2.0,124,48.0,55.0,21.0,37,11.0,19.0,7.0,19,7.0,10.0,2.0,13,6.0,6.0,1.0,205,96.0,87.0,22.0,409,212.0,150.0,47.0,1034,333.0,590.0,111.0,302,135.0,149.0,18.0
Kamil,78,20,45.0,13.0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,7,2.0,3.0,2.0
Jake,123,36,68.0,19.0,9,,,,2,2.0,,,1,,,,0,,,,0,,,,1,1.0,,,0,,,,0,,,,1,,,
Trent,34,10,21.0,3.0,2,1.0,1.0,0.0,43,37.0,4.0,2.0,1,,,,5,0.0,1.0,4.0,0,,,,6,0.0,5.0,1.0,1,,,,2,,,,0,,,
Christian,7,3,2.0,2.0,1,,,,0,,,,2,2.0,,,0,,,,1,1.0,,,0,,,,1,1.0,,,0,,,,3,1.0,1.0,1.0
David,28,7,5.0,16.0,55,20.0,16.0,19.0,441,135.0,249.0,57.0,119,36.0,60.0,23.0,301,86.0,106.0,109.0,3,1.0,2.0,0.0,2,1.0,1.0,0.0,10,10.0,,,0,,,,36,7.0,24.0,5.0
Chris,193,41,78.0,74.0,62,13.0,43.0,6.0,100,30.0,52.0,18.0,44,16.0,26.0,2.0,585,147.0,331.0,107.0,14,4.0,8.0,2.0,31,12.0,12.0,7.0,235,39.0,184.0,12.0,19,8.0,9.0,2.0,103,33.0,55.0,15.0
