Week,Airing,Season
1,05/28/2018 20:00,14
2,06/04/2018 20:00,14
3,06/11/2018 20:00,14
4,06/18/2018 20:00,14
5,06/25/2018 20:00,14
6,07/02/2018 20:00,14
7,07/09/2018 20:00,14
8,07/16/2018 20:00,14
9,07/23/2018 20:00,14
10,07/30/2018 20:00,14
11,08/06/2018 20:00,14
1,05/22/2017 20:00,13
2,05/29/2017 20:00,13
3,06/05/2017 20:00,13
4,06/19/2017 20:00,13
5,06/26/2017 20:00,13
6,06/27/2017 20:00,13
7,07/10/2017 20:00,13
8,07/17/2017 20:00,13
9,07/24/2017 20:00,13
10,07/31/2017 20:00,13
11,08/07/2017 20:00,13
1,05/23/2016 20:00,12
2,05/30/2016 20:00,12
3,06/06/2016 20:00,12
4,06/07/2016 20:00,12
5,06/20/2016 20:00,12
6,06/27/2016 20:00,12
7,07/11/2016 20:00,12
8,07/18/2016 20:00,12
9,07/25/2016 20:00,12
10,07/26/2016 20:00,12
11,08/01/2016 20:00,12
1,05/18/2015 20:00,11
2,05/19/2015 20:00,11
3,05/25/2015 20:00,11
4,06/01/2015 20:00,11
5,06/08/2015 20:00,11
6,06/15/2015 20:00,11
7,06/22/2015 20:00,11
8,06/29/2015 20:00,11
9,07/06/2015 20:00,11
10,07/13/2015 20:00,11
11,07/20/2015 20:00,11
12,07/27/2015 20:00,11
1,05/19/2014 20:00,10
2,05/26/2014 20:00,10
3,06/01/2014 20:00,10
4,06/02/2014 20:00,10
5,06/09/2014 20:00,10
6,06/16/2014 20:00,10
7,06/23/2014 20:00,10
8,06/30/2014 20:00,10
9,07/07/2014 20:00,10
10,07/14/2014 20:00,10
11,07/21/2014 20:00,10
12,07/28/2014 20:00,10
1,05/27/2013 20:00,9
2,06/03/2013 20:00,9
3,06/10/2013 20:00,9
4,06/17/2013 20:00,9
5,06/24/2013 20:00,9
6,07/01/2013 20:00,9
7,07/08/2013 20:00,9
8,07/15/2013 20:00,9
9,07/22/2013 20:00,9
10,08/05/2013 20:00,9
1,05/14/2012 20:00,8
2,05/21/2012 20:00,8
3,05/28/2012 20:00,8
4,06/04/2012 20:00,8
5,06/11/2012 20:00,8
6,06/18/2012 20:00,8
7,06/25/2012 20:00,8
8,07/02/2012 20:00,8
9,07/09/2012 20:00,8
10,07/16/2012 20:00,8
11,07/22/2012 20:00,8
,,
,,
,,