1.0-Negative,1.0-Neutral,1.0-Positive,1.0-Total,1.0-choose,1.0-win,10.0-Negative,10.0-Neutral,10.0-Positive,10.0-Total,10.0-choose,10.0-win,11.0-Negative,11.0-Neutral,11.0-Positive,11.0-Total,11.0-choose,11.0-win,2.0-Negative,2.0-Neutral,2.0-Positive,2.0-Total,2.0-choose,2.0-win,3.0-Negative,3.0-Neutral,3.0-Positive,3.0-Total,3.0-choose,3.0-win,4.0-Negative,4.0-Neutral,4.0-Positive,4.0-Total,4.0-choose,4.0-win,5.0-Negative,5.0-Neutral,5.0-Positive,5.0-Total,5.0-choose,5.0-win,6.0-Negative,6.0-Neutral,6.0-Positive,6.0-Total,6.0-choose,6.0-win,7.0-Negative,7.0-Neutral,7.0-Positive,7.0-Total,7.0-choose,7.0-win,8.0-Negative,8.0-Neutral,8.0-Positive,8.0-Total,8.0-choose,8.0-win,9.0-Negative,9.0-Neutral,9.0-Positive,9.0-Total,9.0-choose,9.0-win,Age,ElimWeek,Hometown,Name,Occupation,Season,firstname
33,392,231,656,4,34,22,84,54,160,0,3,,,,,,,22,131,71,224,2,0,19,97,75,191,0,4,5,24,35,64,0,2,20,65,82,167,0,6,1,0,1,2,0,0,54,216,213,483,0,7,104,533,226,863,0,10,21,21,16,58,0,15,,,,,,14,Colton
2,6,3,11,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,47,0,0,,,,0,0,0,,,,,,14,Grant
19,35,45,99,0,0,3,6,1,10,0,0,,,,,,,6,13,28,47,0,2,69,127,103,299,0,4,2,3,2,7,0,0,,,,0,0,0,,,1,1,0,0,,,,5,0,0,3,1,1,5,0,0,0,2,1,3,0,0,,,,,,14,Clay
6,10,12,28,0,3,5,17,7,29,0,0,,,,,,,0,7,4,11,0,1,1,4,3,8,0,1,17,82,36,135,0,2,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Jean Blanc
3,9,15,27,0,0,0,23,7,30,0,0,,,,,,,25,62,30,117,1,11,2,2,0,4,0,0,0,7,3,10,0,0,0,3,7,10,0,1,0,1,2,3,0,0,0,1,3,4,0,0,,,,1,0,0,,,,1,0,0,,,,,,14,Connor
24,423,152,599,0,13,14,126,104,244,0,4,,,,,,,9,109,8,126,0,1,4,11,10,25,0,0,0,5,26,31,0,0,6,15,3,24,0,0,0,3,2,5,0,0,4,5,2,11,0,0,0,6,1,7,0,0,2,12,3,17,0,1,,,,,,14,Joe
6,30,11,47,0,2,3,7,13,23,0,0,,,,,,,4,12,8,24,0,0,0,5,2,7,0,0,0,49,55,104,1,1,16,58,68,142,13,0,,,,1,0,0,1,6,2,9,0,0,,,3,3,0,0,1,1,3,5,0,0,,,,,,14,John
7,29,23,59,0,0,7,4,19,30,0,0,,,,,,,5,44,16,65,1,1,1,8,5,14,0,0,7,19,23,49,0,0,3,11,22,36,0,0,1,4,5,10,0,1,15,91,63,169,1,0,1,1,3,5,0,0,,,,0,0,0,,,,,,14,Leo
119,219,163,501,0,3,49,171,114,334,0,6,,,,,,,102,375,196,673,1,10,74,300,128,502,0,4,50,167,204,421,0,12,147,282,241,670,0,4,,,,0,0,0,0,2,1,3,0,0,0,3,5,8,0,1,15,11,3,29,1,14,,,,,,14,Jordan
,,1,1,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Rickey
1,34,9,44,0,1,0,2,1,3,0,0,,,,,,,15,14,17,46,0,0,0,4,4,8,0,1,,,,2,0,0,0,2,3,5,0,0,,,,0,0,0,1,3,1,5,0,0,1,1,0,2,0,0,,,,1,0,0,,,,,,14,Alex
8,7,8,23,0,0,1,15,4,20,0,0,,,,,,,1,6,3,10,0,0,3,9,1,13,0,0,4,20,21,45,0,10,6,1,1,8,0,0,,,,1,0,0,1,18,6,25,0,0,3,1,0,4,0,0,0,1,1,2,0,0,,,,,,14,Nick
1,13,9,23,0,0,,,,0,0,0,,,,,,,0,7,3,10,0,0,1,9,27,37,0,0,5,19,2,26,0,0,0,2,1,3,0,1,,,,0,0,0,,,,2,0,0,,,,1,0,0,1,1,0,2,0,0,,,,,,14,Mike
28,99,187,314,1,25,3,20,76,99,3,2,,,,,,,1,16,9,26,0,0,6,11,8,25,1,0,15,85,68,168,2,5,4,10,16,30,0,0,4,3,4,11,0,0,33,65,49,147,1,3,56,93,109,258,2,21,65,301,229,595,9,17,,,,,,14,Garrett
7,41,51,99,0,7,2,30,63,95,4,2,,,,,,,12,70,104,186,1,17,16,25,37,78,0,5,2,55,40,97,0,2,3,37,74,114,0,0,3,5,5,13,0,1,50,281,176,507,4,9,44,207,124,375,15,9,61,347,240,648,11,27,,,,,,14,Blake
4,37,39,80,1,6,4,8,7,19,0,0,,,,,,,77,108,79,264,0,14,0,19,16,35,1,0,79,32,32,143,0,0,7,13,20,40,0,0,0,7,2,9,0,0,2,4,1,7,0,1,,,,0,0,0,3,2,6,11,0,0,,,,,,14,Lincoln
31,30,18,79,0,1,,,,0,0,0,,,,,,,,,1,1,0,0,,,1,1,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,1,0,0,,,,,,14,Chase
,,1,1,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Darius
4,12,8,24,0,0,0,1,2,3,0,0,,,,,,,1,1,1,3,0,0,1,6,5,12,0,0,0,5,13,18,0,0,,,1,1,0,0,,,,0,0,0,,,1,1,0,0,,,,0,0,0,,,,2,0,0,,,,,,14,Ryan
3,9,7,19,0,1,,,,0,0,0,,,,,,,0,1,1,2,0,0,,,,1,0,0,0,9,11,20,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Christon
0,3,4,7,0,0,9,169,65,243,0,2,,,,,,,0,3,12,15,0,0,2,43,15,60,0,2,8,67,98,173,0,6,20,233,242,495,3,61,2,12,2,16,0,1,39,176,182,397,1,0,2,1,5,8,0,0,1,1,6,8,0,0,,,,,,14,Wills
3,4,9,16,0,0,18,149,135,302,0,10,,,,,,,2,3,3,8,0,0,21,55,48,124,0,1,7,19,11,37,0,2,2,10,7,19,0,1,1,6,6,13,0,0,22,87,96,205,2,16,47,150,212,409,3,47,111,590,333,1034,3,24,,,,,,14,Jason
13,45,20,78,0,0,2,3,2,7,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Kamil
19,68,36,123,0,2,,,,1,0,0,,,,,,,,,,9,0,0,,,2,2,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,1,1,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Jake
3,21,10,34,0,0,,,,0,0,0,,,,,,,0,1,1,2,0,0,2,4,37,43,0,0,,,,1,0,0,4,1,0,5,0,0,,,,0,0,0,1,5,0,6,0,0,,,,1,0,0,,,,2,0,0,,,,,,14,Trent
2,2,3,7,0,0,1,1,1,3,0,0,,,,,,,,,,1,0,0,,,,0,0,0,,,2,2,0,0,,,,0,0,0,,,1,1,0,0,,,,0,0,0,,,1,1,0,0,,,,0,0,0,,,,,,14,Christian
16,5,7,28,0,1,5,24,7,36,0,0,,,,,,,19,16,20,55,0,0,57,249,135,441,0,35,23,60,36,119,0,3,109,106,86,301,0,1,0,2,1,3,0,0,0,1,1,2,0,0,,,10,10,0,0,,,,0,0,0,,,,,,14,David
74,78,41,193,0,1,15,55,33,103,2,0,,,,,,,6,43,13,62,0,1,18,52,30,100,0,0,2,26,16,44,0,2,107,331,147,585,12,14,2,8,4,14,0,0,7,12,12,31,0,1,12,184,39,235,0,1,2,9,8,19,0,0,,,,,,14,Chris
0,21,17,38,0,3,3,5,9,17,0,3,,,,,,,1,40,29,70,0,2,12,21,17,50,0,1,9,61,17,87,0,0,5,36,39,80,0,2,6,44,34,84,1,3,7,40,34,81,3,4,0,3,3,6,0,1,22,61,55,138,2,9,,,,,,13,Peter
5,31,14,50,0,0,,,,2,0,0,,,,,,,2,7,0,9,0,0,1,0,1,2,0,0,6,28,4,38,0,1,3,5,6,14,0,1,6,14,9,29,0,0,,,1,1,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Josiah
5,16,19,40,1,0,1,5,4,10,0,1,,,,,,,0,3,4,7,0,0,1,6,6,13,0,0,1,15,6,22,0,0,2,38,17,57,0,1,4,8,10,22,0,3,9,33,20,62,0,2,0,1,1,2,0,1,37,58,37,132,2,2,,,,,,13,Bryan
0,5,6,11,0,0,3,11,8,22,0,0,,,,,,,2,3,6,11,0,3,1,10,4,15,0,1,3,30,7,40,0,0,9,26,14,49,0,0,12,40,42,94,0,4,,,,2,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Kenny
2,2,0,4,0,0,,,1,1,0,0,,,,,,,,,,0,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Rob
1,3,0,4,0,0,,,2,2,0,0,,,,,,,,,,1,0,0,5,2,2,9,0,1,12,31,11,54,0,0,2,6,1,9,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Iggy
1,2,0,3,0,0,,,1,1,0,0,,,,,,,,,,0,0,0,2,2,0,4,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Bryce
1,5,4,10,0,0,0,12,3,15,0,0,,,,,,,0,1,1,2,0,0,0,2,3,5,0,0,2,1,2,5,0,0,4,9,8,21,0,0,11,16,7,34,0,1,,,,1,0,0,,,,0,0,0,1,7,7,15,0,0,,,,,,13,Will
0,3,3,6,0,0,,,,0,0,0,,,,,,,0,3,1,4,0,0,,,,3,0,0,1,10,6,17,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Diggy
,,,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Kyle
1,20,14,35,0,1,,,,0,0,0,,,,,,,1,0,2,3,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0,1,1,2,0,0,,,,,,13,Blake K.
,,,0,0,0,,,,0,0,0,,,,,,,,,,1,0,0,,,,4,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Brady
0,5,1,6,0,0,3,47,16,66,0,0,,,,,,,1,10,21,32,0,2,1,4,2,7,0,0,21,92,56,169,0,6,2,19,12,33,0,0,3,14,20,37,0,0,12,37,36,85,2,6,0,3,1,4,0,0,0,20,19,39,1,0,,,,,,13,Dean
0,4,1,5,0,0,0,4,2,6,0,0,,,,,,,,,,2,0,0,16,23,11,50,0,4,3,9,2,14,0,0,2,6,3,11,0,0,6,11,9,26,1,0,7,7,2,16,0,2,,,,1,0,0,9,23,30,62,0,1,,,,,,13,Eric
1,4,0,5,0,0,5,4,3,12,0,0,,,,,,,5,60,13,78,0,0,7,10,3,20,0,0,,,,2,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,2,0,0,,,,,,13,DeMario
0,1,3,4,0,0,,,,0,0,0,,,,,,,1,1,11,13,0,0,,,1,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Blake E.
1,15,3,19,0,1,0,2,1,3,0,0,,,,,,,1,1,0,2,0,0,7,20,12,39,0,1,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Fred
0,1,2,3,0,0,,,,0,0,0,,,,,,,,,,0,0,0,0,2,1,3,0,0,,,,0,0,0,,,,1,0,0,,,1,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Jonathan
1,1,0,2,0,0,12,29,18,59,0,0,,,,,,,3,2,8,13,0,0,15,10,10,35,0,3,27,72,47,146,0,3,24,74,25,123,0,3,11,22,14,47,0,2,,,,1,0,0,,,,0,0,0,,,,1,0,0,,,,,,13,Lee
1,3,13,17,0,0,1,12,6,19,0,0,,,,,,,1,0,1,2,0,0,0,10,9,19,0,1,1,4,0,5,0,0,0,1,3,4,0,0,0,3,9,12,0,0,0,2,2,4,0,0,,,,0,0,0,,,1,1,0,0,,,,,,13,Alex
2,5,4,11,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Milton
8,16,9,33,0,0,1,11,0,12,0,0,,,,,,,1,2,3,6,0,0,0,5,2,7,0,0,1,1,0,2,0,0,0,8,1,9,0,0,2,7,13,22,0,0,14,32,14,60,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Adam
,,,1,0,0,1,1,0,2,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,4,0,0,3,15,19,37,0,1,5,20,17,42,0,3,,,,0,0,0,,,3,3,0,0,,,,,,13,Matt
0,1,1,2,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Grant
,,,1,0,0,1,4,0,5,0,0,,,,,,,,,,0,0,0,1,5,3,9,0,0,0,3,2,5,0,0,1,0,7,8,0,0,0,4,3,7,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Anthony
0,1,2,3,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Jamey
0,6,1,7,0,0,,,,0,0,0,,,,,,,,,,1,0,0,1,0,1,2,0,0,,,,1,0,0,3,6,2,11,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Jack Stone
0,10,3,13,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Mohit
,,1,1,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,1,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Jedidiah
0,3,1,4,0,0,,,,0,0,0,,,,,,,3,5,0,8,0,0,,,,2,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Michael
16,30,34,80,0,0,,,,1,0,0,,,,,,,11,15,9,35,0,0,12,31,9,52,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Lucas
145,1447,1170,2762,3,250,46,290,171,507,67,13,,,,,,,26,93,102,221,0,18,3,19,18,40,1,0,416,307,320,1043,3,47,149,638,551,1338,2,28,287,433,428,1148,3,55,206,632,539,1377,9,72,204,773,695,1672,9,36,457,775,914,2146,17,63,27,,"Chico, California",Jordan Rodgers,Former Pro Quarterback,12,Jordan
7,100,39,146,0,38,46,313,164,523,63,56,,,,,,,3,17,32,52,0,2,0,6,2,8,0,0,17,61,73,151,0,1,41,230,380,651,1,9,49,74,79,202,0,5,140,306,310,756,5,24,130,613,447,1190,4,40,429,700,1069,2198,11,33,27,10,"St. Augustine, Florida",Robby Hayes,Former Competitive Swimmer,12,Robby
37,22,20,79,0,1,249,173,246,668,1,7,,,,,,,6,24,42,72,0,3,2,14,14,30,1,1,6,60,43,109,6,4,13,39,104,156,3,5,117,213,251,581,1,27,67,146,134,347,3,7,130,351,429,910,10,66,1043,1511,2215,4769,6,165,27,9,"Castle Rock, Colorado",Chase McNary,Medical Sales Rep,12,Chase
35,425,536,996,6,67,155,435,623,1213,5,16,,,,,,,36,102,118,256,1,9,1,4,7,12,1,0,81,505,493,1079,5,172,34,119,90,243,0,10,69,306,211,586,4,25,46,300,264,610,12,21,381,1346,1233,2960,34,298,627,1535,1424,3586,17,47,31,8,"Burnet, Texas",Luke Pell,War Veteran,12,Luke
39,204,178,421,1,20,4,16,31,51,0,0,,,,,,,28,121,140,289,1,3,15,51,64,130,0,1,29,188,137,354,3,9,31,90,67,188,1,7,270,375,456,1101,5,52,218,417,458,1093,3,19,3,11,4,18,0,0,3,11,11,25,0,0,29,7,"Katy, Texas",James Taylor,Singer-Songwriter,12,James
49,182,124,355,0,23,68,39,42,149,0,0,,,,,,,49,117,107,273,3,8,4,33,71,108,0,1,230,359,298,887,7,10,281,569,520,1370,1,20,170,313,278,761,3,44,223,376,540,1139,3,27,3,12,21,36,0,1,2,7,10,19,0,1,25,7,"Oceanside, California",Alex Woytkiw,U.S. Marine,12,Alex
6,96,40,142,0,2,20,17,14,51,0,0,,,,,,,46,181,143,370,0,8,2,5,7,14,0,0,13,94,68,175,0,8,107,181,209,497,0,5,270,348,341,959,6,23,6,3,19,28,0,0,1,8,3,12,0,0,8,5,4,17,0,0,29,6,"Waverly, Iowa",Derek Peth,Commercial Banker,12,Derek
25,126,159,310,0,10,7,68,64,139,0,0,,,,,,,34,177,143,354,1,13,2,8,7,17,0,0,7,51,38,96,1,4,42,81,177,300,1,6,258,456,548,1262,0,23,5,11,46,62,0,4,5,14,8,27,0,1,7,22,25,54,0,1,31,6,"Monterey, California",Wells Adams,Radio DJ,12,Wells
36,69,41,146,0,3,22,53,35,110,0,3,,,,,,,11,94,27,132,0,0,49,77,84,210,3,3,363,433,369,1165,2,32,309,495,648,1452,2,9,16,23,14,53,0,0,0,6,9,15,0,1,1,6,7,14,0,4,4,6,90,100,0,0,33,5,"Hartford, Connecticut",Evan Bass,Erectile Dysfunction Specialist,12,Evan
9,49,72,130,1,3,1,36,4,41,0,0,,,,,,,17,53,57,127,0,21,7,2,15,24,0,0,10,38,28,76,0,2,17,68,36,121,0,2,0,2,2,4,0,0,0,1,2,3,0,1,,,,1,0,0,,,,1,0,1,27,5,"San Francisco, California",Grant Kemp,Firefighter,12,Grant
